state,totalvote,blue,red
Alabama,9,-,9
Alaska,3,-,3
Arizona,7,-,7
Arkansas,6,-,6
California,47,-,47
Colorado,8,-,8
Connecticut,8,-,8
Delaware,3,-,3
District of Columbia,3,3,-
Florida,21,-,21
Georgia,12,-,12
Hawaii,4,4,-
Idaho,4,-,4
Illinois,24,-,24
Indiana,12,-,12
Iowa,8,8,-
Kansas,7,-,7
Kentucky,9,-,9
Louisiana,10,-,10
Maine,4,-,4
Maryland,10,-,10
Massachusetts,13,13,-
Michigan,20,-,20
Minnesota,10,10,-
Mississippi,7,-,7
Missouri,11,-,11
Montana,4,-,4
Nebraska,5,-,5
Nevada,4,-,4
New Hampshire,4,-,4
New Jersey,16,-,16
New Mexico,5,-,5
New York,36,36,-
North Carolina,13,-,13
North Dakota,3,-,3
Ohio,23,-,23
Oklahoma,8,-,8
Oregon,7,7,-
Pennsylvania,25,-,25
Rhode Island,4,4,-
South Carolina,8,-,8
South Dakota,3,-,3
Tennessee,11,-,11
Texas,29,-,29
Utah,5,-,5
Vermont,3,-,3
Virginia,12,-,12
Washington,10,10,-
West Virginia,6,5,-
Wisconsin,11,11,-
Wyoming,3,-,3
