"state","totalvote","blue","red","outcome","year"
"Alabama",9,"0","9","red",2016
"Alaska",3,"0","3","red",2016
"Arizona",11,"0","11","red",2016
"Arkansas",6,"0","6","red",2016
"California",55,"55","0","blue",2016
"Colorado",9,"9","0","blue",2016
"Connecticut",7,"7","0","blue",2016
"Delaware",3,"3","0","blue",2016
"District of Columbia",3,"3","0","blue",2016
"Florida",29,"0","29","red",2016
"Georgia",16,"0","16","red",2016
"Hawaii*",4,"3","0","blue",2016
"Idaho",4,"0","4","red",2016
"Illinois",20,"20","0","blue",2016
"Indiana",11,"0","11","red",2016
"Iowa",6,"0","6","red",2016
"Kansas",6,"0","6","red",2016
"Kentucky",8,"0","8","red",2016
"Louisiana",8,"0","8","red",2016
"Maine**",4,"3","1","blue",2016
"Maryland",10,"10","0","blue",2016
"Massachusetts",11,"11","0","blue",2016
"Michigan",16,"0","16","red",2016
"Minnesota",10,"10","0","blue",2016
"Mississippi",6,"0","6","red",2016
"Missouri",10,"0","10","red",2016
"Montana",3,"0","3","red",2016
"Nebraska",5,"0","5","red",2016
"Nevada",6,"6","0","blue",2016
"New Hampshire",4,"4","0","blue",2016
"New Jersey",14,"14","0","blue",2016
"New Mexico",5,"5","0","blue",2016
"New York",29,"29","0","blue",2016
"North Carolina",15,"0","15","red",2016
"North Dakota",3,"0","3","red",2016
"Ohio",18,"0","18","red",2016
"Oklahoma",7,"0","7","red",2016
"Oregon",7,"7","0","blue",2016
"Pennsylvania",20,"0","20","red",2016
"Rhode Island",4,"4","0","blue",2016
"South Carolina",9,"0","9","red",2016
"South Dakota",3,"0","3","red",2016
"Tennessee",11,"0","11","red",2016
"Texas***",38,"0","36","red",2016
"Utah",6,"0","6","red",2016
"Vermont",3,"3","0","blue",2016
"Virginia",13,"13","0","blue",2016
"Washington****",12,"8","0","blue",2016
"West Virginia",5,"0","5","red",2016
"Wisconsin",10,"0","10","red",2016
"Wyoming",3,"0","3","red",2016
